POOL_MEMBER	Team	PLAYER_NAME
DEAN	TAM	 TYLER JOHNSON
KEVIN	ANA	 RYAN GETZLAF
WALEED	TAM	 NIKITA KUCHEROV
JURIS	ANA	 JAKOB SILFVERBERG
WINSTON	CHI	 PATRICK KANE
DEAN	TAM	 STEVEN STAMKOS
JIMMY	ANA	 COREY PERRY
WALEED	CHI	 JONATHAN TOEWS
WALEED	CHI	 DUNCAN KEITH
KEVIN	NYR	 DERICK BRASSARD
DEAN	TAM	 ALEX KILLORN
JURIS	TAM	 ONDREJ PALAT
JURIS	NYR	 RICK NASH
WINSTON	CHI	 PATRICK SHARP
JIMMY	ANA	 RYAN KESLER
WINSTON	CHI	 MARIAN HOSSA
MARK	NYR	 DEREK STEPAN
MARK	NYR	 KEITH YANDLE
JIMMY	ANA	 SAMI VATANEN
DEAN	TAM	 VALTTERI FILPPULA
WALEED	MIN	 ZACH PARISE
DEAN	TAM	 VICTOR HEDMAN
JIMMY	ANA	 PATRICK MAROON
WINSTON	WAS	 JOEL WARD
JURIS	WAS	 ALEX OVECHKIN
JURIS	CGY	 JOHNNY GAUDREAU
JIMMY	CHI	 ANDREW SHAW
JIMMY	NYR	 RYAN MCDONAGH
WINSTON	CHI	 BRENT SEABROOK
JIMMY	ANA	 HAMPUS LINDHOLM
ANDREW	NYR	 CHRIS KREIDER
JIMMY	CHI	 BRAD RICHARDS
KEVIN	ANA	 ANDREW COGLIANO
WALEED	MON	 P.K. SUBBAN
KEVIN	ANA	 FRANCOIS BEAUCHEMIN
KEVIN	STL	 KEVIN SHATTENKIRK
WALEED	WAS	 NICKLAS BACKSTROM
ANDREW	NYR	 J.T. MILLER
WALEED	CGY	 JIRI HUDLER
KEVIN	ANA	 MATT BELESKEY
WALEED	MON	 MAX PACIORETTY
KEVIN	NYR	 KEVIN HAYES
JIMMY	NYR	 MARTIN ST. LOUIS
MARK	STL	 VLADIMIR TARASENKO
WINSTON	CHI	 BRANDON SAAD
WALEED	WAS	 EVGENY KUZNETSOV
JURIS	CGY	 DENNIS WIDEMAN
DEAN	TAM	 ANTON STRALMAN
ANDREW	NYI	 JOHN TAVARES
JURIS	CGY	 SEAN MONAHAN
WINSTON	WAS	 JOHN CARLSON
WINSTON	NAS	 FILIP FORSBERG
WINSTON	NAS	 JAMES NEAL
JIMMY	NYR	 CARL HAGELIN
JIMMY	CHI	 BRYAN BICKELL
ANDREW	NAS	 CRAIG SMITH
ANDREW	MON	 BRENDAN GALLAGHER
WINSTON	CHI	 ANTOINE VERMETTE
MARK	NAS	 MIKE RIBEIRO
MARK	DET	 PAVEL DATSYUK
DEAN	VAN	 RADIM VRBATA
ANDREW	VAN	 HENRIK SEDIN
JURIS	STL	 PATRIK BERGLUND
DEAN	OTT	 MARK STONE
JIMMY	NYI	 RYAN STROME
JURIS	TAM	 RYAN CALLAHAN
WALEED	MON	 ALEX GALCHENYUK
DEAN	VAN	 DANIEL SEDIN
ANDREW	PIT	 SIDNEY CROSBY
MARK	DET	 TOMAS TATAR
JURIS	WAS	 MARCUS JOHANSSON
KEVIN	ANA	 KYLE PALMIERI
ANDREW	STL	 ALEXANDER STEEN
ANDREW	OTT	 ERIK KARLSSON
KEVIN	MON	 TOMAS PLEKANEC
WALEED	PIT	 PATRIC HORNQVIST
ANDREW	STL	 JADEN SCHWARTZ
JIMMY	VAN	 NICK BONINO
KEVIN	MON	 DAVID DESHARNAIS
JURIS	OTT	 MIKE HOFFMAN
ANDREW	MON	 LARS ELLER
WINSTON	WAS	 TROY BROUWER
MARK	DET	 HENRIK ZETTERBERG
WINSTON	NYR	 DOMINIC MOORE
ANDREW	PIT	 CHRIS KUNITZ
ANDREW	NYI	 KYLE OKPOSO
MARK	WPG	 BRYAN LITTLE
WALEED	TAM	 BRIAN BOYLE
JURIS	OTT	 CLARKE MACARTHUR
WALEED	WAS	 MIKE GREEN
KEVIN	MON	 ANDREI MARKOV
MARK	DET	 GUSTAV NYQUIST
DEAN	NYR	 MATS ZUCCARELLO
JURIS	STL	 JORI LEHTERA
MARK	VAN	 ALEXANDRE BURROWS
DEAN	OTT	 KYLE TURRIS
JURIS	STL	 DAVID BACKES
MARK	STL	 ALEX PIETRANGELO
MARK	STL	 T.J. OSHIE
JIMMY	CHI	 KRIS VERSTEEG
KEVIN	ANA	 RICKARD RAKELL
DEAN	NYI	 ANDERS LEE
WALEED	WPG	 MARK SCHEIFELE
DEAN	STL	 PAUL STASTNY
WINSTON	TAM	 CEDRIC PAQUETTE
WINSTON	WAS	 CURTIS GLENCROSS
MARK	WPG	 DUSTIN BYFUGLIEN
MARK	WPG	 BLAKE WHEELER
DEAN	WPG	 ANDREW LADD
KEVIN	ANA	 TOMAS FLEISCHMANN
ANDREW	PIT	 EVGENI MALKIN
